id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,is_superhost
948774035312968192,44219287,Cuauhtémoc,19.4294922,-99.1478193,Entire home/apt,869.0,3,65,2.79,1,164,36,1
949262729131783489,106063017,Cuauhtémoc,19.41454,-99.16078,Entire home/apt,774.0,2,34,1.37,4,244,16,1
949329625353076613,9466758,Cuauhtémoc,19.407181,-99.1657784,Entire home/apt,2709.0,3,77,3.14,2,217,36,1
949368841917363503,436769796,Miguel Hidalgo,19.4425436,-99.1856846,Entire home/apt,1400.0,3,32,1.22,1,328,13,1
949412575712387109,201174671,Cuauhtémoc,19.4089541,-99.163032,Entire home/apt,810.0,3,62,2.39,1,27,27,0
949420336616934979,452306427,Cuauhtémoc,19.409195,-99.1721474,Entire home/apt,1510.0,3,5,0.2,47,203,2,0
949427693653842865,452306427,Cuauhtémoc,19.409195,-99.1721474,Entire home/apt,1374.0,3,19,0.73,47,234,2,0
949437077975244910,31546599,Miguel Hidalgo,19.4041361,-99.1793279,Private room,316.0,4,9,0.45,2,165,5,0
949440785417191674,526944374,Miguel Hidalgo,19.438107,-99.2038094,Entire home/apt,1102.0,1,16,0.62,11,361,8,0
949450103214186107,526944374,Miguel Hidalgo,19.438107,-99.2038094,Entire home/apt,1169.0,1,67,2.58,11,355,38,1
949450355120145926,529528757,Iztacalco,19.401256968405526,-99.0821526884242,Entire home/apt,1286.0,1,81,3.18,1,36,42,0
949458378893656648,31546599,Miguel Hidalgo,19.4041361,-99.1793279,Private room,319.0,4,15,0.59,2,143,3,0
949536136487563897,526944374,Cuauhtémoc,19.4378276,-99.1394106,Entire home/apt,1187.0,1,85,3.35,11,302,46,1
949575315930270512,474908046,Cuauhtémoc,19.4137502,-99.1334933,Entire home/apt,892.0,2,64,2.52,1,70,34,1
949609739361151387,273651060,Cuauhtémoc,19.4243182,-99.1659947,Entire home/apt,958.0,2,107,4.15,2,192,50,1
949947070556031670,539407308,Cuauhtémoc,19.4532294,-99.1562314,Entire home/apt,840.0,1,33,1.26,64,90,5,1
949965622256344100,45855666,Cuauhtémoc,19.41398953924401,-99.18040946024612,Private room,550.0,1,9,0.35,8,357,3,0
950020370795937785,25080980,Cuauhtémoc,19.436932005165044,-99.1399816590328,Private room,528.0,2,118,4.55,4,63,48,1
950024735460568166,501218890,Miguel Hidalgo,19.429183821978857,-99.17906273788785,Entire home/apt,1609.0,1,4,0.15,55,289,1,0
950106067713912852,515054008,Miguel Hidalgo,19.427746,-99.1776549,Entire home/apt,748.0,1,114,4.47,40,364,33,1
950120752718492565,515054008,Miguel Hidalgo,19.427746,-99.1776549,Entire home/apt,869.0,1,76,2.98,40,353,24,1
950130845849858070,515054008,Miguel Hidalgo,19.428882548180383,-99.1764875773082,Entire home/apt,838.0,1,100,3.89,40,358,20,1
950164449075996584,524954728,Cuauhtémoc,19.416573240710512,-99.143189426329,Entire home/apt,920.0,2,31,1.2,1,321,13,1
950297108944780671,336919547,Cuauhtémoc,19.422723446157036,-99.14285498465576,Entire home/apt,648.0,1,105,4.03,1,283,51,1
950303353845961749,18539495,Cuauhtémoc,19.40426,-99.17028,Entire home/apt,1633.0,1,100,3.85,1,228,38,1
950327453435826625,102433624,Iztapalapa,19.34161,-99.06304,Entire home/apt,684.0,2,30,1.17,4,330,9,1
950640058641255745,515054008,Miguel Hidalgo,19.427746,-99.1776549,Entire home/apt,748.0,1,127,4.94,40,365,49,1
950644182197509048,515054008,Miguel Hidalgo,19.42884,-99.17704,Entire home/apt,760.0,1,85,3.34,40,340,29,1
950649944418185221,515054008,Miguel Hidalgo,19.42878,-99.17687,Entire home/apt,748.0,1,108,4.27,40,365,24,1
950702998334406886,515054008,Miguel Hidalgo,19.427746,-99.1776549,Entire home/apt,792.0,1,89,3.49,40,361,17,1
950708060339028286,515054008,Miguel Hidalgo,19.427746,-99.1776549,Entire home/apt,794.0,1,85,3.31,40,361,31,1
950711327236942350,515054008,Miguel Hidalgo,19.427746,-99.1776549,Entire home/apt,779.0,1,125,4.89,40,354,53,1
950737504014530883,515054008,Miguel Hidalgo,19.427746,-99.1776549,Entire home/apt,682.0,1,125,4.86,40,355,47,1
